,Man,Modules,Running Status,Module Comment,old
1615,"Martin Fluid Power Company, Inc",Martin Fluid Power Company_Inc,Stopped,"Useless,Approved by LC tam",
1616,Master Instrument Corporation,Master Instrument,Stopped,Site issue,
1617,"Maxell, Ltd",Maxell_Ltd,Stopped,"Useless,Approved by LC tam",Regular Running
1618,Maxim Integrated,Maxim Integrated,Stopped,Fully Aquired,
1619,Maxim Integrated,Maxim Integrated_ECCN,Stopped,Fully Aquired,
1620,Maxim Integrated,Maxim Integrated_FIT,Stopped,Fully Aquired,
1621,Maxim Integrated,Maxim Integrated_Service,Stopped,Fully Aquired,
1622,McLaren,McLaren,Stopped,"Useless,Approved by LC tam",
1623,meconet e. K.,meconet e. K.,Stopped,"Useless,Approved by LC tam",
1624,Micro Crystal AG,Micro Crystal AG,Stopped,"Useless,Approved by LC tam",
1625,Microchip Technology,Microchip Technology_Rel,Stopped,Covered by another module,
1626,Middle Atlantic Products,Middle Atlantic Products,Stopped,Fully Aquired,
1627,MiniRF Inc,MiniRF Inc,Stopped,Site Issue,
1628,Momentive Performance Materials Inc,Momentive Performance Materials Inc,Stopped,Useless,
1629,Motion Industries,Motion Industries,Stopped,"Useless,Approved by LC tam",
1630,Mparts BV,Mparts BV,Stopped,Fully Aquired,
1631,"Mueller Group, Inc","Mueller Group, Inc",Stopped,Useless,
1632,"MultiDimension Technology Co.,Ltd",MultiDimension Technology Co_Ltd,Stopped,Most of parts are not found so it is useless/LC approved,Regular Running
1633,Murtfeldt Kunststoffe GmbH & Co. KG,Murtfeldt Kunststoffe GmbH & Co. KG,Stopped,"Useless,Approved by LC tam",
1634,NAKAYAMATOOLS,NAKAYAMATOOLS,Stopped,"Useless,Approved by LC tam",
1635,"National Control Devices, LLC","National Control Devices, LLC",Stopped,No New Simulation,
1636,"National Precision Bearing, Inc","National Precision Bearing, Inc",Stopped,"Useless,Approved by LC tam",
1637,NationSkander California Corp,NationSkander California Corp,Stopped,Captcha,
1638,"NetMotion, Inc","NetMotion, Inc",Stopped,No New Simulation,
1639,New Japan Radio,New Japan Radio,Stopped,Fully Aquired,
1640,New Japan Radio,New Japan Radio_CrossReference,Stopped,Fully Aquired,
1641,New Japan Radio,New Japan Radio_RoHS,Stopped,Fully Aquired,
1642,NEXT BIOMETRICS GROUP ASA,NEXT BIOMETRICS GROUP ASA,Stopped,No New Simulation,
1643,NGI USA,NGI USA,Stopped,"Useless,Approved by LC tam",
1644,NIBCO,NIBCO,Stopped,Useless,
1645,"NIHON PISCO Co.,LTD",NIHON PISCO Co_LTD,Stopped,Site Issue,
1646,Nilfisk Group,Nilfisk Industrial Vacuums,Stopped,Site Issue,
1647,NORMA Group,NORMA Group,Stopped,No New Simulation,
1648,Northern Tool + Equipment,Northern Tool + Equipment Catalog Co,Stopped,Captcha,
1649,OLIMEX,OLIMEX,Stopped,Site Issue,
1650,onsemi,ON Semiconductor_CrossReference,Stopped,No New Simulation,
1651,Ontrack Supplies & Services,Ontrack Supplies & Services,Stopped,"Useless,Approved by LC tam",
1652,Optimas OE Solutions LLC,Optimas OE Solutions LLC_2,Stopped,Based LC approved,Regular Running
1653,OSRAM Opto Semiconductors,OSRAM Opto Semiconductors,Stopped,Fully Aquired,
1654,Oxford Electrical Products,Oxford Electrical Products,Stopped,Fully Aquired,
1655,PACO Plastics & Engineering Inc,PACO Plastics & Engineering Inc,Stopped,"Useless,Approved by LC tam",
1656,PalPilot,PalPilot,Stopped,Based LC approved,Regular Running
1657,Pancon GmbH,Pancon GmbH,Stopped,Site Issue,
1658,Panstrong Technology Corp,Panstrong Technology Corp,Stopped,"Useless,Approved by LC tam",
1659,PATLITE Corporation,PATLITE Corporation,Stopped,Most of parts are not found so it is useless/LC approved,Regular Running
1660,Paul Vahle GmbH & Co. KG,Paul Vahle GmbH & Co. KG,Stopped,Based LC approved,Regular Running
1661,Paxton Access Ltd,Paxton Access Ltd,Stopped,"Useless,Approved by LC tam",
1662,"Pelonis Technologies, Inc","Pelonis Technologies, Inc",Stopped,No New Simulation,
1663,Permapack AG,Permapack AG,Stopped,"Useless,Approved by LC tam",
1664,Phoenix Mecano Inc,Phoenix Mecano Inc,Stopped,Useless,
1665,Phytec America,Phytec America,Stopped,"Site Updated, Wait New Simulation",
1666,PI Manufacturing Corp,PI Manufacturing Corp,Stopped,No New Simulation,Regular Running
1667,Piher Sensors & Controls S.A.,Piher Sensors & Controls S.A.,Stopped,No New Simulation,
1668,Pimoroni Ltd,Pimoroni Ltd,Stopped,No New Simulation,
1669,plica AG,plica AG,Stopped,Useless,
1670,Pomona Electronics,Pomona Electronics,Stopped,Fully Aquired,
1671,Positronic,Positronic Industries,Stopped,Data Team Ask To Stop,
1672,Power Integrations,Power Integrations,Stopped,No New Simulation,
1673,Premier Magnetics,Premier Magnetics,Stopped,Based LC approved,
1674,Pro Wire and Cable,Pro Wire and Cable,Stopped,"Useless,Approved by LC tam",
1675,ProTek Devices,ProTek Devices,Stopped,"Site Updated, Wait New Simulation",
1676,PYLE AUDIO,PYLE AUDIO,Stopped,No New Simulation,
1677,"Qotana Technologies Co., Ltd",Qotana Technologies Co_Ltd,Stopped,Useless,
1678,"QSC, LLC","QSC, LLC",Stopped,"Useless,Approved by LC tam",
1679,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),Qualcomm (RF360 - A Qualcomm & TDK Joint Venture)_Withdraw,Stopped,No New Simulation,
1680,RaidSonic Technology GmbH,RaidSonic Technology GmbH,Stopped,No New Simulation,
1681,RALEC,RALEC,Stopped,Useless,
1682,RAM Electronics Industries,RAM Electronics Industries,Stopped,No New Simulation,
1683,ReFLEX CES,ReFLEX CES,Stopped,Based LC approved,
1684,Renesas Electronics,Renesas Electronics_CrossReference,Stopped,Covered by direct feed,
1685,Renesas Electronics,Renesas Electronics_Rel,Stopped,Covered by direct feed,
1686,REVO America Inc,REVO America Inc,Stopped,"Useless,Approved by LC tam",
1687,RF Industries,RF Industries,Stopped,Based LC approved,
1688,RF Solutions,RF Solutions,Stopped,Useless,
1689,RINGSPANN GmbH,RINGSPANN GmbH,Stopped,Most of parts are not found so it is useless/LC approved,Regular Running
1690,Rowe Industries,Rowe Industries,Stopped,Useless,
1691,RS Components,RS Components_Scrub_Inv,Stopped,Covered By Another Source (DDF/Tool),
1692,Rudolf Michael GmbH,Rudolf Michael GmbH,Stopped,"Useless,Approved by LC tam",
1693,"Rugao Dachang Electronics Co., Ltd",Rugao Dachang Electronics,Stopped,"Useless,Approved by LC tam",
1694,Samtec,Samtec,Stopped,Covered by direct feed,
1695,Samtec,Samtec_Cart,Stopped,Covered by direct feed,
1696,SMC Diode Solutions Co. LTD,Sangdest Microelectronics Co_LTD,Stopped,Based LC approved,Regular Running
1697,Schaeffler Technologies AG & Co. KG,Schaeffler Group USA,Stopped,Site Issue,
1698,Schneider Electric,Schneider Electric,Stopped,Based LC approved,Regular Running
1699,Schneider Electric,Schneider Electric_3D CAD,Stopped,No New Simulation,
1700,Schnorr GmbH,Schnorr GmbH,Stopped,Most of parts are not found so it is useless/LC approved,Regular Running
1701,Schurter,Schurter_CrossReference,Stopped,Based LC approved,Run by request
1702,ScioSense,ScioSense,Stopped,Most of parts are not found so it is useless/LC approved,Regular Running
1703,"Seeed Technology Co.,Ltd",Seeed Technology Limited,Stopped,Site Issue,
1704,SEEM-SEMRAC,SEEM-SEMRAC,Stopped,Based LC approved,Regular Running
1705,Semikron,Semikron,Stopped,Zero parts,
1706,Senah Inc,Senah Inc,Stopped,"Useless,Approved by LC tam",
1707,"Shanghai LUNSURE Electronic Technology Co., Ltd",Shanghai LUNSURE Electronic Technology Co_Ltd,Stopped,"Useless,Approved by LC tam",
1708,Sharp,Sharp,Stopped,"Site Updated, Wait New Simulation",
1709,"Shenzhen Codaca Electronic Co., Ltd",Shenzhen Codaca Electronic Co_Ltd,Stopped,Site Issue,
1710,"Shenzhen OMK ELECTRONICS CO., LTD",Shenzhen OMK ELECTRONICS CO_LTD,Stopped,"Useless,Approved by LC tam",
1711,Sierra Wireless,Sierra Wireless,Stopped,Useless,
1712,Silicon Motion Technology,Silicon Motion Technology,Stopped,Site Issue,
1713,SiTime,SiTime_Scrub_Inv,Stopped,Covered By Another Source (DDF/Tool),
1714,SMC Diode Solutions Co. LTD,SMC Diode Solutions Co_LTD,Stopped,Based LC approved,
1715,Solar Direct,Solar Direct,Stopped,"Useless,Approved by LC tam",
1716,Solitron Devices Inc,Solitron Devices,Stopped,No New Simulation,
1717,Source Photonics,Source Photonics,Stopped,No New Simulation,
1718,Specialty Cases,Specialty Cases,Stopped,"Useless,Approved by LC tam",
1719,Spectrum Digital,Spectrum Digital,Stopped,No New Simulation,
1720,Spraying Systems Co,Spraying Systems Co,Stopped,Site Issue,
1721,Stanley Engineered Fastening,Stanley Engineered Fastening,Stopped,No New Simulation,
1722,StarTech.com Ltd,Startech,Stopped,Site Issue,
1723,Sunnen Products Company,Sunnen Products Company,Stopped,"Useless,Approved by LC tam",
1724,Switchcraft,Switchcraft_Scrub_Inv,Stopped,No New Simulation,
1725,SynSemi,SynSemi,Stopped,No New Simulation,
1726,Taiyo Yuden,Taiyo Yuden_JP,Stopped,Covered By Another Source (DDF/Tool),
1727,Takbro,Takbro,Stopped,Useless,
1728,TDK,TDK,Stopped,Covered by direct feed,
1729,Teledyne Technologies,Teledyne Technologies,Stopped,Based LC approved,
1730,Texas Instruments,Texas Instruments_CR,Stopped,Covered By Another Source (DDF/Tool),
1731,The Lee Company,The Lee Company,Stopped,No New Simulation,
1732,"ABB Installation Products, Inc",Thomas & Betts,Stopped,Fully Aquired,Regular Running
1733,"ABB Installation Products, Inc",Thomas & Betts_CrossReference,Stopped,Fully Aquired,
1734,"ABB Installation Products, Inc",Thomas & Betts_ROHS,Stopped,Fully Aquired,
1735,TOA Electronics,TOA Electronics,Stopped,No New Simulation,
1736,"Toray Industries, Inc",Toray Industries_Inc,Stopped,Most of parts are not found,Regular Running
1737,KIOXIA Corporation,Toshiba Memory Corporation,Stopped,No New Simulation,
1738,Toshiba,Toshiba_CrossReference,Stopped,No New Simulation,
1739,Toshiba,Toshiba_data,Stopped,Covered by direct feed,Run by request
1740,TOYOGIKEN,TOYOGIKEN,Stopped,Based LC approved,Regular Running
1741,Trafag AG,Trafag AG,Stopped,"Useless,Approved by LC tam",
1742,Transition Networks,"Transition Networks, Inc",Stopped,Fully Aquired,
1743,TRINAMIC Motion Control GmbH & Co. KG,TRINAMIC Motion Control GmbH & Co. KG,Stopped,Fully Aquired,
1744,Tripp Lite,Tripp Lite,Stopped,Fully Aquired,
1745,TT Electronics,TT Electronics_ROHS,Stopped,No New Simulation,
1746,Unipower,Unipower,Stopped,Based LC approved,Regular Running
1747,Chemi-Con,United Chemi Con,Stopped,Covered By Another Source (DDF/Tool),
1748,United Radiant Technology Corporation,United Radiant Technology Corporation,Stopped,No New Simulation,
1749,Universal Scientific Industrial,Universal Scientific Industrial,Stopped,Useless,
1750,US Conec,US Conec,Stopped,No New Simulation,
1751,VACUUMSCHMELZE GmbH & Co. KG,VACUUMSCHMELZE GmbH & Co. KG,Stopped,No New Simulation,
1752,Valin Corporation,Valin Corporation,Stopped,Site Issue,
1753,Variscite,Variscite,Stopped,Useless,
1754,Venkel,Venkel,Stopped,Covered by direct feed,
1755,Victory Electronics Co. Ltd,Victory Electronics Co_Ltd,Stopped,Based LC approved,
1756,Volex plc,Volex plc,Stopped,Based LC approved,Regular Running
1757,WM Berg,W.M. Berg,Stopped,Captcha,
1758,"Wakefield Thermal, Inc",Wakefield-Vette_Inc_CrossReference,Stopped,No New Simulation,
1759,Watlow Electric Manufacturing Company,Watlow Electric Manufacturing,Stopped,Site Issue,
1760,"Watts Water Technologies, Inc",Watts Water Technologies_Inc,Stopped,Proxy Issue/Most of parts are not found/LC approved,Regular Running
1761,Weschler Instruments,Weschler Instruments,Stopped,No New Simulation,
1762,Whitman Controls Corporation,Whitman Controls Corporation,Stopped,Useless,
1763,Woertz AG,Woertz AG,Stopped,"Useless,Approved by LC tam",
1764,Xicon Passive Components,Xicon Passive Components,Stopped,Captcha,
1765,Xilinx,Xilinx_ECCN,Stopped,Fully Aquired,
1766,XMA Corporation,XMA Corporation,Stopped,Based LC approved,Regular Running
1767,Yamaichi Electronics,Yamaichi Electronics,Stopped,No New Simulation,
1768,"Zephyr Engineering, Inc","Zephyr Engineering, Inc",Stopped,Based LC approved,Regular Running
1769,ZEUS Battery Products,ZEUS Battery Products,Stopped,No New Simulation,
1770,ZF Electronics,ZF Electronics,Stopped,No New Simulation,
1771,Zippy Technology Corp,ZIPPY Technology,Stopped,Based LC approved,
1772,DWK Life Sciences,DWK Life Sciences,Stopped,Fully Aquired,
1773,Lapp Group,Lapp Group_2,Stopped, SW as the web site complicated ,
1774,GE Vernova,GE Vernova,Stopped,,
1775,ROHM Semiconductor,Rohm,Stopped,,Run By Request
1776,"Ideal Vacuum Products, LLC","Ideal Vacuum Products, LLC",SW issue,Issue in tester get error,Regular Running
1777,Panasonic,Panasonic_Report of Confirmation,SW Issue,when run get error in tester,Run By Request
1778,IOGEAR,IOGEAR,SW Issue,page dont complete load,Regular Running
1779,Global Connector Technology,Global Connector Technology,SW Issue,have issue in tester no data output - waiting time,Regular Running
1780,Kycon,Kycon,sw Issue,missed data for ROHS,Regular Running
1781,"Macromatic Industrial Controls, Inc","Macromatic Industrial Controls, Inc",SW Issue,Need new simulation,Regular Running
1782,Basler AG,Basler AG,SW Issue,data found in offline but get error in tester and production,Regular Running
1783,Congatec GmbH,Congatec GmbH,SW Issue,Cookeies issue,Regular Running
1784,Edwards Vacuum,Edwards Vacuum LLC,SW Issue,need select country not applicable,
1785,Trajan Scientific Australia Pty Ltd,Trajan Scientific Australia Pty Ltd,SW Issue,site update and need new simulation,Regular Running
1786,Seoul Semiconductor,Seoul Semiconductor,Pending Data Team,Site Updates need new simulation,Regular Running
1787,Avery Products Corporation,Avery Products Corporation,SW Issue,Waiting Time,
1788,Extron Electronics,Extron Electronics,SW Issue,Missed import data in update system (https://arrowecommerce.atlassian.net/browse/DAT-346),
1789,Verbatim,Verbatim,sw issue,not Applicable as need click,
1790,Seoul Semiconductor,Seoul Semiconductor_Link,sw issue,------,
1791,"FUTEK Advanced Sensor Technology, Inc",FUTEK Advanced Sensor Technology_Inc,SW Issue,error in tester (Error in loading page: Host name may not be empty),Regular Running
1792,MENNEKES Elektrotechnik GmbH & Co. KG,Mennekes,SW Issue,Web site complicated need check key enter,
1793,Fiber Instruments Sales Inc.,Fiber Instrument Sales,SW Issue,Waiting Time/proxy issue,
1794,Accu Limited,Accu Limited,SW Issue,The web site is complicated and have huge waiting time,Regular Running
1795,APEM,Apem Components,SW Issue,Cookeies issue,Run by request
1796,Avery Dennison,Avery Dennison,SW Issue,Waiting Time,
1797,CAIG Laboratories,CAIG Laboratories,SW Issue,Waiting Time,
1798,Cisco Systems,Cisco Systems_ECCN,SW Issue,Waiting Time/form connection issue,
1799,Deublin Company,Deublin Company,SW Issue,most of parts error  although the data found in offline,Regular Running
1800,Fohrenbach Application Tooling N.V,Fohrenbach Application Tooling N.V,SW Issue,most of parts error  although the data found in offline,Regular Running
1801,Hitano Enterprise,Hitano Enterprise,SW Issue,DA-535,
1802,"J.S.T.MFG.CO.,LTD",JST Manufacturing_LC,SW Issue,Waiting Time/proxy issue,
1803,National Instruments,National Instruments,SW Issue,as the web site have huge watiting time and cant extract the data,
1804,Powertip Technology,Powertip Technology,SW Issue,Waiting Time/Proxy issue,
1805,Quest Technology International,Quest Technology International,SW Issue,DA-535,
1806,RAFI GmbH & Co. KG,RAFI GmbH & Co. KG,SW Issue,the web site complicated ,
1807,Rochester Electronics,Rochester Electronics,Pending Data Team,"Proxy Issue/Most of parts are not found,Site Updates need new simulation",Regular Running
1808,"Shenzhen Sunlord Electronics Co., Ltd","Shenzhen Sunlord Electronics Co., Ltd",SW Issue,Web site complicated need check,Regular Running
1809,Snap-on Incorporated,Snap-on,SW Issue,Waiting Time/proxy issue,
1810,"Sumitomo Electric Industries, Ltd",Sumitomo Electric Industries_Ltd,SW Issue,parts error  although the data found in offline,Regular Running
1811,E-tec Interconnect,E-tec Interconnect,SW Issue,parts error  although the data found in offline,Regular Running
1812,OmniOn Power Inc,OmniOn Power Inc,SW Issue,Waitning time issue,
1813,QUALCOMM,Qualcomm,SW Issue,needs click,
1814,Regal Rexnord Corporation,Regal Rexnord Corporation,Sw Issue,shadow root,
1815,Belden,Belden_Wire,Run By Request,,
1816,RND,RND,Run By Request,,
1817,Microchip Technology,Microchip Technology_Datasheet,Run By Request,,
1818,"ADVANCED ENERGY INDUSTRIES, INC",ADVANCED ENERGY INDUSTRIES,Regular Running,,
1819,"Santa Cruz Biotechnology, Inc",Santa Cruz Biotechnology,Regular Running,,
1820,Advantech,Advantech_parametric,Run By Request,,
1821,Grayhill,Grayhill_2,Run By Request,,
1822,MACOM Technology Solutions,MACOM Technology Solutions,Run By Request,,
1823,GEYER ELECTRONIC GmbH,GEYER ELECTRONIC GmbH,Regular Running,,
1824,"ABB Installation Products, Inc",ABB Installation Products,Regular Running,,
1825,Schrack Technik GmbH,Schrack Technik GmbH,Regular Running,,
1826,"P-Duke Technology Co., Ltd",P-Duke Technology,Run By Request,,
